mod_decile,n,modularity_mean,num_concepts_mean,num_concepts_ci95_lo,num_concepts_ci95_hi
0,50,0.4697545,29.142666666666663,28.920276967897717,29.36505636543561
1,50,0.49464925,29.021333333333338,28.79234034959194,29.250326317074737
2,50,0.52028475,28.286000000000005,28.0356610496839,28.53633895031611
3,50,0.5450807500000001,27.896666666666665,27.646582734405506,28.146750598927824
4,50,0.56937225,27.33866666666667,27.075131691502698,27.60220164183064
5,50,0.5936977499999999,26.656000000000002,26.37986707010757,26.932132929892436
6,50,0.61981225,25.73,25.45243938625292,26.00756061374708
7,50,0.6448775000000001,24.872666666666664,24.52067540346261,25.224657929870716
8,50,0.66947975,23.75333333333333,23.38900153138174,24.11766513528492
9,50,0.6948714999999999,22.781999999999996,22.4381121916841,23.12588780831589
