p,n,mean,sd,sem,ci95_lo,ci95_hi,median,iqr
0.0,15,0.6888000000000001,1.1491900087240784e-16,2.967195843610875e-17,0.6888000000000001,0.6888000000000001,0.6888,0.0
0.05,15,0.7066058333333334,0.014827804681296124,0.003828522706098417,0.6988842916666668,0.7130803541666667,0.70795,0.010824999999999974
0.1,15,0.7036016666666669,0.012073085535406373,0.0031172572810644356,0.6981780833333333,0.7097177083333333,0.7021,0.011412500000000048
0.15,15,0.6752833333333332,0.024442942245057924,0.006311140549827938,0.6629488333333334,0.6867656041666665,0.680125,0.025050000000000017
0.2,15,0.6459083333333334,0.017807737249644653,0.004597937986767414,0.6371332499999999,0.6545206875000003,0.6471500000000001,0.02645625000000007
0.25,15,0.6246675,0.017394433376801893,0.004491223385671211,0.6161643541666667,0.6329891875,0.6248875,0.019874999999999976
0.3,15,0.5867350000000001,0.016834711297325108,0.004346703766183333,0.5785207291666669,0.5949121458333332,0.5868625,0.011299999999999866
0.35,15,0.566125,0.022389023937124698,0.005780821123088211,0.5549423333333332,0.5766977500000001,0.5769,0.035231249999999936
0.4,15,0.5418124999999999,0.025787344625942836,0.006658263751945862,0.5292687083333334,0.5543739999999998,0.5404125,0.031425000000000036
0.45,15,0.5246183333333334,0.03095751944870045,0.007993197150980604,0.5098148541666667,0.5396202083333334,0.5230374999999999,0.040956249999999805
0.5,15,0.512175,0.01633291347249474,0.004217140124934592,0.5044222708333334,0.5201825625,0.5100750000000001,0.021343749999999995
0.55,15,0.49361916666666666,0.01805479436887558,0.004661727860656971,0.48442975000000005,0.5020267500000001,0.4955625,0.02001875000000003
0.6,15,0.48559333333333327,0.013129437911843442,0.0033900062918422623,0.4791228958333333,0.4919868333333334,0.48605,0.018262500000000015
0.65,15,0.48217499999999996,0.009825966646377037,0.002537053678787187,0.47731633333333334,0.48692502083333344,0.4833875000000001,0.014231250000000029
0.7,15,0.4784391666666667,0.014041469088619855,0.003625491729100729,0.4718822291666667,0.48553772916666665,0.4793375,0.015450000000000075
0.75,15,0.4694316666666667,0.0162983448893117,0.004208214555136598,0.46110714583333323,0.4769592291666667,0.47291249999999996,0.020368750000000102
0.8,15,0.46438250000000003,0.01635394011065399,0.0042225691795624255,0.45674227083333335,0.47260008333333337,0.46236249999999995,0.008825000000000027
0.85,15,0.4739033333333334,0.011976551184452459,0.003092332218825672,0.46797741666666665,0.4795822291666666,0.4728125,0.020131249999999934
0.9,15,0.47222666666666663,0.013447106920219295,0.003472028077111989,0.4656338333333333,0.4787975416666666,0.46678749999999997,0.023768750000000005
0.95,15,0.4684483333333334,0.014009514358446695,0.0036172410532478486,0.46186083333333344,0.47550104166666673,0.46727499999999994,0.01258750000000003
1.0,15,0.46877166666666664,0.012422646790189657,0.003207513608948104,0.4623730208333334,0.4744594375,0.46876249999999997,0.017199999999999993
